stadium_name,stadium_open,stadium_close,stadium_type,stadium_weather_type,stadium_capacity,stadium_surface,stadium_latitude,stadium_longitude,stadium_azimuthangle,stadium_elevation
Acrisure Stadium,2001,,outdoor,cold,"65,500",Grass,40.4846,-80.2144,,366.7
Alamo Dome,1993,,indoor,warm,72000,FieldTurf,29.416944,-98.478889,0,202
Allegiant Stadium,2020,,indoor,warm,65000,Grass,36.09075,-115.183722,0,670
Allianz Arena,2005,,outdoor,moderate,"75,024",Grass,48.218967,11.623746,,520
Alltel Stadium,1995,,outdoor,warm,"82,000",FieldTurf,30.323889,-81.6375,16.7,6.1
Alumni Stadium,1957,,outdoor,cold,"44,500",Grass,42.335118,-71.166461,316.3,39.841
Arrowhead Stadium,1972,,outdoor,cold,"76,416",Grass,39.048889,-94.483889,,264.9
AT&T Stadium,2009,,retractable,warm,"80,000",FieldTurf,32.747778,-97.092778,68,163.4
Balboa Stadium,1978,,outdoor,warm,"3,000",Grass,32.730831,-117.142586,,50
Bills Stadium,1973,,outdoor,cold,"73,967",FieldTurf,42.889,-78.8901,,178
Caesars Superdome,1975,,indoor,warm,"76,468",FieldTurf,29.95083,90.081108,,1
CenturyLink Field,2002,,outdoor,moderate,"67,000",FieldTurf,47.5952,-122.3316,0,93
Cotton Bowl,1930,,outdoor,moderate,"92,100",FieldTurf,32.7795083,-96.7595489,,140
Cowboys Stadium,2009,,retractable,warm,"80,000",FieldTurf,32.7572,-97.0736,,163.4
Dignity Health Sports Park,2019,,outdoor,warm,27000,Grass,33.864,-118.261,0,15
Dolphin Stadium,1987,,outdoor,warm,"65,326",Grass,25.7905,-80.3163,,8.8
Edward Jones Dome,1995,,indoor,cold,"67,000",FieldTurf,38.632778,-90.188611,15,142
Empower Field at Mile High,2001,,outdoor,cold,"76,125",Grass,39.743889,-105.02,0,1611.2
Estadio Azteca,1966,,outdoor,warm,"83,264",Grass,19.302911,-99.150442,5.9,2200
EverBank Field,1995,,outdoor,warm,"67,264",Grass,30.23333,-81.66667,,6.1
Fenway Park,1912,,outdoor,cold,"37,755",Grass,42.346268,-71.095764,,5
FirstEnergy Stadium,1999,,outdoor,cold,"68,000",Grass,41.506111,-81.699444,56.1,238
Ford Field,2002,,indoor,cold,"65,000",FieldTurf,42.34,-83.045556,63.7,184
Frankfurt Stadium,1925,,retractable,cold,"58,000",Grass,50.068056,8.645806,,367
